Name,Type,Surface,Price
Cardinal Campus The Place,Logement en résidence,Meublé - Parking - Cafétéria,860€
Canvas Ivry sur Seine,Logement en résidence,Meublé - Parking - Salle de sport - Cafétéria,1103€
Kley Créteil,Logement en résidence,5 chambres - Meublé - Parking - Salle de sport - Cafétéria,690€
Twenty Campus Pantin,Logement en résidence,Meublé - Salle de sport - Cafétéria,850€
UXCO Streamline,Logement en résidence,Meublé - Parking,1035€
Cozy City Retreat,Logement T2,37m² - 1 chambre - Meublé - Salle de bain privée,1650€
Beau studio avec jardin privatif La Pompe-Passy,Studio,21m² - Meublé - Salle de bain privée,1250€
Chambre à louer dans appartement en coloc Paris 18,Colocation,105m² - 4 chambres - Meublé - Parking,895€
Studio panache au coeur de paris - tout confort,Studio,14m² - Meublé - Salle de bain privée,950€
"2 pièces meublé neuf Voltaire, Léon Blum (Paris11)",Logement T2,40m² - 1 chambre - Meublé - Salle de bain privée,2600€
Fully-Equipped Studio Apt - Paris 10th 1.,Studio,14m² - Meublé - Salle de bain privée,1575€
Fully-Equipped Studio Apt - Paris 10th 2.,Studio,14m² - Meublé - Salle de bain privée,1575€
Fully-Equipped 1 Bed Apt - Belleville/République,Logement T2,31m² - 1 chambre - Meublé - Salle de bain privée,2365€
Fully-Equipped Studio Apt - Paris 10th 3.,Studio,14m² - Meublé - Salle de bain privée,1575€
Exclusive comfortable Studio 28m2 with views,Studio,28m² - Meublé - Parking - Salle de bain privée,1490€
Grand Studio 28m2 vue panoramique sur Montmartre,Studio,28m² - Meublé - Parking - Salle de bain privée,1490€
Fully-Equipped Studio Apt - Paris 10th 5.,Studio,15m² - Meublé - Salle de bain privée,1575€
Fully-Equipped Studio Apt - Belleville/République,Studio,14m² - Meublé - Salle de bain privée,1575€
Fully-Equipped Studio Apt - Belleville/République,Studio,14m² - Meublé - Salle de bain privée,1575€
Fully-Equipped Stud Apt - Château Rouge/Montmartre,Studio,16m² - Meublé - Salle de bain privée,1575€
Fully-Equipped Studio Apt - Paris 10th 4.,Studio,14m² - Meublé - Salle de bain privée,1575€
